pair_key,file_i,file_j,cosine,jaccard,ast_cosine,seq_sim,vote_cosine,vote_jaccard,vote_ast,vote_seq,votes,decision,score_mean
datasets/IR-Plag-Dataset/case-01/plagiarized/L1/05/HelloWorld.java||datasets/IR-Plag-Dataset/case-01/plagiarized/L3/03/HelloWorld.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L3/03/HelloWorld.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L1/05/HelloWorld.java,1.0000000000000004,1.0,1.0,1.0,1,1,1,1,4,1,1.0
datasets/IR-Plag-Dataset/case-01/non-plagiarized/08/T01.java||datasets/IR-Plag-Dataset/case-01/non-plagiarized/09/t01.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/09/t01.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/08/T01.java,0.9999999999999994,1.0,1.0000000000000002,1.0,1,1,1,1,4,1,1.0
datasets/IR-Plag-Dataset/case-01/plagiarized/L1/04/T1.java||datasets/IR-Plag-Dataset/case-01/plagiarized/L2/02/Main.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L2/02/Main.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L1/04/T1.java,1.0000000000000002,1.0,1.0,1.0,1,1,1,1,4,1,1.0
datasets/IR-Plag-Dataset/case-01/plagiarized/L1/03/Main.java||datasets/IR-Plag-Dataset/case-01/plagiarized/L2/02/Main.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L2/02/Main.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L1/03/Main.java,1.0000000000000002,1.0,1.0,1.0,1,1,1,1,4,1,1.0
datasets/IR-Plag-Dataset/case-01/plagiarized/L2/01/L2.java||datasets/IR-Plag-Dataset/case-01/plagiarized/L2/02/Main.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L2/02/Main.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L2/01/L2.java,1.0000000000000002,1.0,1.0,1.0,1,1,1,1,4,1,1.0
datasets/IR-Plag-Dataset/case-01/plagiarized/L1/06/HelloWorld.java||datasets/IR-Plag-Dataset/case-01/plagiarized/L2/05/PrintJava.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L2/05/PrintJava.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L1/06/HelloWorld.java,1.0000000000000002,1.0,1.0,1.0,1,1,1,1,4,1,1.0
datasets/IR-Plag-Dataset/case-01/non-plagiarized/13/No1.java||datasets/IR-Plag-Dataset/case-01/plagiarized/L1/08/Kasus1L1.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/13/No1.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L1/08/Kasus1L1.java,1.0000000000000002,1.0,1.0,1.0,1,1,1,1,4,1,1.0
datasets/IR-Plag-Dataset/case-01/non-plagiarized/13/No1.java||datasets/IR-Plag-Dataset/case-01/plagiarized/L1/01/L1.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/13/No1.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L1/01/L1.java,1.0000000000000002,1.0,1.0,1.0,1,1,1,1,4,1,1.0
datasets/IR-Plag-Dataset/case-01/non-plagiarized/13/No1.java||datasets/IR-Plag-Dataset/case-01/plagiarized/L1/09/Level1.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/13/No1.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L1/09/Level1.java,1.0000000000000002,1.0,1.0,1.0,1,1,1,1,4,1,1.0
datasets/IR-Plag-Dataset/case-01/plagiarized/L1/02/Main.java||datasets/IR-Plag-Dataset/case-01/plagiarized/L2/01/L2.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L2/01/L2.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L1/02/Main.java,1.0000000000000002,1.0,1.0,1.0,1,1,1,1,4,1,1.0
